Temperatura,Personas,Electrodomesticos,Consumo_kWh
24.483570765056164,2.0,20.0,
21.308678494144075,1.0,18.0,45.748021711278305
25.23844269050346,5.0,17.0,59.05167679736333
29.61514928204013,2.0,8.0,41.80680904422233
20.829233126383322,1.0,18.0,45.00829048377327
20.8293152152541,5.0,7.0,40.19029775394802
29.896064077536955,4.0,14.0,55.65103508850272
25.837173645764544,2.0,11.0,49.47614299940515
19.65262807032524,4.0,9.0,45.85357084241371
24.712800217929825,3.0,7.0,38.552700212541474
19.682911535937688,5.0,10.0,39.546788970101346
19.671351232148716,5.0,16.0,52.96620697047995
23.20981135783017,2.0,10.0,42.20791207974024
12.43359877671101,5.0,20.0,50.250270729926655
13.375410837434837,3.0,10.0,36.51185757207327
19.188562353795135,5.0,6.0,40.96999062045812
16.93584439832788,1.0,17.0,42.100649646721536
,4.0,15.0,53.24417805851949
17.459879622393945,3.0,14.0,41.25417379868308
14.938481493323543,3.0,16.0,47.04125696394721
29.32824384460777,4.0,11.0,52.89233507692559
20.871118497567323,4.0,17.0,52.75501051887219
22.33764102343962,3.0,11.0,41.015074032997624
14.876259068932717,4.0,14.0,41.320733370721754
19.278086377374088,2.0,16.0,46.537031997948645
22.55461294854933,4.0,8.0,41.436959207590434
16.245032112888488,1.0,15.0,37.927536714108754
23.87849009172836,1.0,20.0,47.419248537814006
18.996806550405974,2.0,10.0,
20.541531251033618,4.0,8.0,36.82140395910343
18.991466938853016,,20.0,50.49942497683713
31.261390922544688,5.0,8.0,52.524212530261245
21.93251387631033,4.0,10.0,43.69705888207545
16.711445355220498,2.0,13.0,42.18583900064348
26.112724560515943,4.0,16.0,59.78255775715201
15.895781750144888,3.0,17.0,50.532932433793654
23.044317975023777,3.0,19.0,55.20932229003742
12.201649380601122,1.0,11.0,25.018213071818707
15.359069755507846,3.0,6.0,35.40675304189809
22.984306179345616,2.0,18.0,52.960071311994476
25.692332899977053,1.0,10.0,40.188665989214456
22.85684140594985,2.0,,
21.421758588058797,2.0,9.0,44.92790250826801
20.494481522053555,3.0,10.0,40.094263634323546
14.607390048162863,3.0,,50.49536051141837
18.400778958026457,2.0,12.0,36.16277967260382
19.696806145201062,3.0,12.0,
27.285611131094576,3.0,19.0,64.67881461240313
23.71809144784231,3.0,7.0,38.33358671695635
13.18479922318633,4.0,13.0,36.291060571270506
23.620419846973974,2.0,10.0,41.597373763272394
20.074588597918417,5.0,11.0,46.908946509025625
18.615389998470206,2.0,13.0,42.92508822375059
25.05838144420434,1.0,,50.147472072011205
27.154997612479754,3.0,18.0,64.8867429768113
26.656400595580994,3.0,17.0,56.14441597110683
17.803912383886807,5.0,11.0,119.58638808425616
20.453938120743928,1.0,14.0,37.36407908120397
23.65631715701782,4.0,13.0,46.89984807190037
26.877725635611796,2.0,5.0,31.111552785544813
19.60412881077355,4.0,17.0,49.31285430073416
21.071705116680914,1.0,20.0,51.8927554923418
16.46832512996986,5.0,5.0,33.86562313474497
,1.0,7.0,22.50508676809896
26.062629111970992,5.0,17.0,59.26002992046681
28.781200142854114,4.0,13.0,56.6358772400169
21.63994939209833,4.0,5.0,38.84802058101779
27.01766448946012,1.0,5.0,35.10483714622505
23.80818012523817,1.0,9.0,34.70196046684882
18.77440122697438,3.0,12.0,48.01088452160107
23.80697802754207,5.0,6.0,46.29162253034442
29.690182832329846,3.0,8.0,41.22967462151735
21.820869804450243,2.0,19.0,54.393113255243236
29.82321827907003,2.0,10.0,44.91590004055733
8.901274479551278,1.0,19.0,38.12579656402894
26.10951252187612,4.0,5.0,40.41713893458682
22.435235341190857,2.0,19.0,50.45031534914629
20.504963247670663,2.0,8.0,37.430960633412546
22.45880388267751,3.0,8.0,37.23234405255151
12.062155426995536,3.0,13.0,36.4692320123933
20.90164056081244,2.0,13.0,44.501893114549055
23.78556285755873,1.0,10.0,43.53987926885196
29.38947022370758,3.0,12.0,49.02080195845036
19.40864890863176,2.0,16.0,41.78734388625562
17.95753198553406,4.0,14.0,50.78555914214016
19.491214782077318,3.0,8.0,37.17809882969914
26.57701058851037,2.0,14.0,49.76865914253999
23.643755548298422,5.0,12.0,
,3.0,19.0,54.76174342490353
24.56633716556678,5.0,7.0,46.24473112586057
22.4853877467402,3.0,6.0,34.417927069878765
26.843224952664446,3.0,10.0,47.58621290285173
18.489734530613237,,9.0,44.79208936683006
20.361689267011158,1.0,12.0,36.175752531820294
20.039459234339212,2.0,19.0,50.01251152147915
14.682425259339407,1.0,5.0,19.888285403721774
23.48060138532288,1.0,20.0,53.17014591177657
23.305276360899448,,15.0,
22.025567283212304,4.0,16.0,53.50422028781973
20.827064333124266,1.0,14.0,37.24546986649409
14.92314628974793,1.0,7.0,19.370932688768708
19.896773386173205,1.0,11.0,34.723241231561005
20.286427417366152,4.0,17.0,54.438987747442155
17.988613653891903,3.0,20.0,55.3249224524487
21.193571441669953,5.0,14.0,56.353277504096354
24.020254284072692,5.0,18.0,60.14487462667462
31.43092950605265,4.0,16.0,56.3984944940221
22.872889064159196,1.0,8.0,31.757281378279075
23.28775195361382,5.0,14.0,61.18000045948862
21.627770421169163,4.0,20.0,64.23491610789888
12.406143923504793,2.0,9.0,30.709184266546757
21.867430622753915,5.0,12.0,49.19911987504305
22.301151049705133,2.0,5.0,31.06708349729494
34.316210562426434,1.0,5.0,43.0970665783869
21.038195176094387,,16.0,56.46052903664651
23.507736711668063,4.0,11.0,46.16467342058639
21.826441151473784,3.0,19.0,58.93990201670188
16.15660981190234,5.0,17.0,47.58226245619742
27.714114072575104,5.0,16.0,58.15760727401528
25.759665163433873,5.0,13.0,52.69287727284922
25.955159735215233,5.0,8.0,50.769005816302474
17.453062726026303,,12.0,42.280107722375014
29.013971554680495,4.0,14.0,50.892093013827896
14.990744686038596,3.0,19.0,47.41604705484133
24.934285469001352,4.0,11.0,47.03456167207635
32.952278129049894,4.0,18.0,65.15933942513024
17.04731837434656,1.0,6.0,26.022553224719243
19.16851135198614,,18.0,48.237830048709185
,2.0,9.0,
19.482621729419005,3.0,13.0,42.337828339042154
14.246682844669337,1.0,17.0,40.037436168733564
22.342814874030136,3.0,17.0,
16.688481431369475,3.0,13.0,40.04679551284232
24.36796215317591,5.0,7.0,152.83166283294855
17.402878828830985,3.0,15.0,
,5.0,16.0,65.22204499015801
18.083733538318814,2.0,7.0,30.73054208034537
20.38969241897162,2.0,6.0,35.04330696400868
26.067586086848348,2.0,11.0,44.86173309835391
15.845678417830225,5.0,10.0,41.092779914797426
23.137299673020646,5.0,19.0,66.41695588530641
28.53571377141214,2.0,9.0,39.72140742194653
13.962583827193862,5.0,11.0,37.64459289179816
22.92316929266152,4.0,8.0,43.37076942930132
23.299413971242117,4.0,9.0,41.787906713203135
25.90911435888655,5.0,13.0,55.05726115083587
15.81524644560959,5.0,20.0,54.436269380498
15.397716934578618,1.0,19.0,43.83179566239685
24.60970782808449,1.0,15.0,46.64215270875452
23.48492336616593,3.0,20.0,59.68567469106474
23.252464251729382,3.0,13.0,43.68713964789539
23.732241047484877,3.0,8.0,35.923428737668964
18.599876392107547,2.0,10.0,37.07234844014547
23.161268485805017,4.0,6.0,38.39029519838667
23.465362366493405,2.0,7.0,33.6020018634581
18.42824290986816,5.0,13.0,48.88979850126957
31.328872555723784,1.0,10.0,42.551878398299465
24.36916460455894,5.0,12.0,53.61718998938372
16.043482513986756,5.0,19.0,57.79732081767791
25.28276804316915,1.0,,48.6778916275604
17.126591648863393,5.0,9.0,41.42658896465875
25.93542301871226,3.0,6.0,41.73565434326357
27.79297789503702,1.0,11.0,43.496934534249256
17.89658840824145,5.0,20.0,61.93634318912141
,3.0,,42.13319662860004
24.06390463468249,3.0,15.0,50.441946219348424
26.11030079997245,4.0,19.0,67.07395559376626
31.483964913269737,3.0,6.0,39.073600602861006
20.773059419985646,2.0,10.0,42.99305893102357
18.23131917821255,1.0,17.0,48.32690531172318
17.552427851872384,1.0,12.0,37.2378284748234
17.920948575172808,1.0,17.0,38.796523360205164
21.614491452929478,5.0,5.0,39.14184678367114
23.70575987408322,5.0,20.0,66.3423053095614
23.383453996650097,2.0,8.0,32.729345098734456
,3.0,5.0,39.4374283890625
22.065009459389536,5.0,6.0,41.97597560696196
29.267670385786584,3.0,20.0,60.707147109092645
20.67671583381022,3.0,5.0,29.683726918325902
35.600845832948096,5.0,10.0,
25.12833673882503,5.0,15.0,59.93299637915299
17.714212217918586,2.0,10.0,117.46134931476107
16.64553750969444,4.0,5.0,32.92090082476785
24.412362076215928,1.0,8.0,33.72640448757188
20.882686073370746,5.0,18.0,53.28299125355867
25.57000247046046,5.0,18.0,66.32146922558726
24.366188122867726,3.0,18.0,56.14947857995137
21.635855436715637,4.0,8.0,44.171828340627016
17.766031409657977,,12.0,45.85013578630499
14.425763876570677,4.0,10.0,38.817025671829896
19.767425239664895,1.0,6.0,28.773710991738767
26.28199397161736,3.0,9.0,46.6190692792513
23.07046872065102,2.0,8.0,41.835364238734186
15.77130610644006,1.0,14.0,
22.86590462925591,4.0,8.0,41.249873365060346
23.926586898644185,4.0,16.0,
,,12.0,33.275668315305055
,4.0,9.0,51.65429058300866
22.29104359223,2.0,7.0,29.288068704496602
16.285148510846884,2.0,20.0,57.08731215912661
23.788936801741418,4.0,20.0,62.94716401717351
24.80392263184117,4.0,14.0,52.59540597761248
27.415256215876383,2.0,16.0,49.419309447093255
27.269010260174515,4.0,19.0,62.19381101836009
15.111653160214544,5.0,8.0,37.39808493015064
17.310874800424386,3.0,5.0,34.48977721383171
24.5751763360433,5.0,10.0,
24.568929754561044,4.0,15.0,59.1678942197619
24.575238431530238,4.0,17.0,56.28897240470441
41.26365745327361,3.0,19.0,70.93495294941576
24.854452553465833,4.0,14.0,52.59135188005594
27.677828200902994,3.0,8.0,42.020833494485444
26.770008817466014,2.0,10.0,39.32889012689634
25.25695625652899,3.0,6.0,40.3636856884028
